Query_ID,N_Value,M_Value,Iteration_Number,Success_Probability,Confidence_Threshold,Stopping_Iteration,Stopped
Q0051,500,2,9,0.8704,0.9,10,No
Q0051,500,2,10,0.9427,0.9,10,Yes
Q0052,500,2,1,0.0356,0.9,10,No
Q0052,500,2,2,0.0968,0.9,10,No
Q0052,500,2,3,0.1838,0.9,10,No
Q0052,500,2,4,0.2908,0.9,10,No
Q0052,500,2,5,0.4112,0.9,10,No
Q0052,500,2,6,0.5373,0.9,10,No
Q0052,500,2,7,0.661,0.9,10,No
Q0052,500,2,8,0.7744,0.9,10,No
Q0052,500,2,9,0.8704,0.9,10,No
Q0052,500,2,10,0.9427,0.9,10,Yes
Q0053,500,1,1,0.0179,0.9,14,No
Q0053,500,1,2,0.0492,0.9,14,No
Q0053,500,1,3,0.0949,0.9,14,No
Q0053,500,1,4,0.1535,0.9,14,No
Q0053,500,1,5,0.2232,0.9,14,No
Q0053,500,1,6,0.3018,0.9,14,No
Q0053,500,1,7,0.3866,0.9,14,No
Q0053,500,1,8,0.4751,0.9,14,No
Q0053,500,1,9,0.5644,0.9,14,No
Q0053,500,1,10,0.6516,0.9,14,No
Q0053,500,1,11,0.734,0.9,14,No
Q0053,500,1,12,0.8089,0.9,14,No
Q0053,500,1,13,0.874,0.9,14,No
Q0053,500,1,14,0.9271,0.9,14,Yes
Q0054,500,1,1,0.0179,0.9,14,No
Q0054,500,1,2,0.0492,0.9,14,No
Q0054,500,1,3,0.0949,0.9,14,No
Q0054,500,1,4,0.1535,0.9,14,No
Q0054,500,1,5,0.2232,0.9,14,No
Q0054,500,1,6,0.3018,0.9,14,No
Q0054,500,1,7,0.3866,0.9,14,No
Q0054,500,1,8,0.4751,0.9,14,No
Q0054,500,1,9,0.5644,0.9,14,No
Q0054,500,1,10,0.6516,0.9,14,No
Q0054,500,1,11,0.734,0.9,14,No
Q0054,500,1,12,0.8089,0.9,14,No
Q0054,500,1,13,0.874,0.9,14,No
Q0054,500,1,14,0.9271,0.9,14,Yes
Q0055,500,1,1,0.0179,0.9,14,No
Q0055,500,1,2,0.0492,0.9,14,No
Q0055,500,1,3,0.0949,0.9,14,No
Q0055,500,1,4,0.1535,0.9,14,No
Q0055,500,1,5,0.2232,0.9,14,No
Q0055,500,1,6,0.3018,0.9,14,No
Q0055,500,1,7,0.3866,0.9,14,No
Q0055,500,1,8,0.4751,0.9,14,No
Q0055,500,1,9,0.5644,0.9,14,No
Q0055,500,1,10,0.6516,0.9,14,No
Q0055,500,1,11,0.734,0.9,14,No
Q0055,500,1,12,0.8089,0.9,14,No
Q0055,500,1,13,0.874,0.9,14,No
Q0055,500,1,14,0.9271,0.9,14,Yes
Q0056,500,1,1,0.0179,0.9,14,No
Q0056,500,1,2,0.0492,0.9,14,No
Q0056,500,1,3,0.0949,0.9,14,No
Q0056,500,1,4,0.1535,0.9,14,No
Q0056,500,1,5,0.2232,0.9,14,No
Q0056,500,1,6,0.3018,0.9,14,No
Q0056,500,1,7,0.3866,0.9,14,No
Q0056,500,1,8,0.4751,0.9,14,No
Q0056,500,1,9,0.5644,0.9,14,No
Q0056,500,1,10,0.6516,0.9,14,No
Q0056,500,1,11,0.734,0.9,14,No
Q0056,500,1,12,0.8089,0.9,14,No
Q0056,500,1,13,0.874,0.9,14,No
Q0056,500,1,14,0.9271,0.9,14,Yes
Q0057,500,1,1,0.0179,0.9,14,No
Q0057,500,1,2,0.0492,0.9,14,No
Q0057,500,1,3,0.0949,0.9,14,No
Q0057,500,1,4,0.1535,0.9,14,No
Q0057,500,1,5,0.2232,0.9,14,No
Q0057,500,1,6,0.3018,0.9,14,No
Q0057,500,1,7,0.3866,0.9,14,No
Q0057,500,1,8,0.4751,0.9,14,No
Q0057,500,1,9,0.5644,0.9,14,No
Q0057,500,1,10,0.6516,0.9,14,No
Q0057,500,1,11,0.734,0.9,14,No
Q0057,500,1,12,0.8089,0.9,14,No
Q0057,500,1,13,0.874,0.9,14,No
Q0057,500,1,14,0.9271,0.9,14,Yes
Q0058,500,1,1,0.0179,0.9,14,No
Q0058,500,1,2,0.0492,0.9,14,No
Q0058,500,1,3,0.0949,0.9,14,No
Q0058,500,1,4,0.1535,0.9,14,No
Q0058,500,1,5,0.2232,0.9,14,No
Q0058,500,1,6,0.3018,0.9,14,No
Q0058,500,1,7,0.3866,0.9,14,No
Q0058,500,1,8,0.4751,0.9,14,No
Q0058,500,1,9,0.5644,0.9,14,No
Q0058,500,1,10,0.6516,0.9,14,No
Q0058,500,1,11,0.734,0.9,14,No
Q0058,500,1,12,0.8089,0.9,14,No
Q0058,500,1,13,0.874,0.9,14,No
Q0058,500,1,14,0.9271,0.9,14,Yes
Q0059,500,1,1,0.0179,0.9,14,No
Q0059,500,1,2,0.0492,0.9,14,No
Q0059,500,1,3,0.0949,0.9,14,No
Q0059,500,1,4,0.1535,0.9,14,No
Q0059,500,1,5,0.2232,0.9,14,No
Q0059,500,1,6,0.3018,0.9,14,No
Q0059,500,1,7,0.3866,0.9,14,No
Q0059,500,1,8,0.4751,0.9,14,No
Q0059,500,1,9,0.5644,0.9,14,No
Q0059,500,1,10,0.6516,0.9,14,No
Q0059,500,1,11,0.734,0.9,14,No
Q0059,500,1,12,0.8089,0.9,14,No
Q0059,500,1,13,0.874,0.9,14,No
Q0059,500,1,14,0.9271,0.9,14,Yes
Q0060,500,1,1,0.0179,0.9,14,No
Q0060,500,1,2,0.0492,0.9,14,No
Q0060,500,1,3,0.0949,0.9,14,No
Q0060,500,1,4,0.1535,0.9,14,No
Q0060,500,1,5,0.2232,0.9,14,No
Q0060,500,1,6,0.3018,0.9,14,No
Q0060,500,1,7,0.3866,0.9,14,No
Q0060,500,1,8,0.4751,0.9,14,No
Q0060,500,1,9,0.5644,0.9,14,No
Q0060,500,1,10,0.6516,0.9,14,No
Q0060,500,1,11,0.734,0.9,14,No
Q0060,500,1,12,0.8089,0.9,14,No
Q0060,500,1,13,0.874,0.9,14,No
Q0060,500,1,14,0.9271,0.9,14,Yes
Q0061,500,7,1,0.1213,0.9,5,No
Q0061,500,7,2,0.3123,0.9,5,No
Q0061,500,7,3,0.5447,0.9,5,No
Q0061,500,7,4,0.7673,0.9,5,No
Q0061,500,7,5,0.9308,0.9,5,Yes
Q0062,500,17,1,0.2789,0.9,3,No
Q0062,500,17,2,0.64,0.9,3,No
Q0062,500,17,3,0.9275,0.9,3,Yes
Q0063,500,9,1,0.1543,0.9,5,No
Q0063,500,9,2,0.3884,0.9,5,No
Q0063,500,9,3,0.654,0.9,5,No
Q0063,500,9,4,0.8761,0.9,5,No
Q0063,500,9,5,0.9918,0.9,5,Yes
Q0064,500,8,1,0.1379,0.9,5,No
Q0064,500,8,2,0.3511,0.9,5,No
Q0064,500,8,3,0.6017,0.9,5,No
Q0064,500,8,4,0.8267,0.9,5,No
Q0064,500,8,5,0.9695,0.9,5,Yes
Q0065,500,2,1,0.0356,0.9,10,No
Q0065,500,2,2,0.0968,0.9,10,No
Q0065,500,2,3,0.1838,0.9,10,No
Q0065,500,2,4,0.2908,0.9,10,No
Q0065,500,2,5,0.4112,0.9,10,No
Q0065,500,2,6,0.5373,0.9,10,No
Q0065,500,2,7,0.661,0.9,10,No
Q0065,500,2,8,0.7744,0.9,10,No
Q0065,500,2,9,0.8704,0.9,10,No
Q0065,500,2,10,0.9427,0.9,10,Yes
Q0066,500,2,1,0.0356,0.9,10,No
Q0066,500,2,2,0.0968,0.9,10,No
Q0066,500,2,3,0.1838,0.9,10,No
Q0066,500,2,4,0.2908,0.9,10,No
Q0066,500,2,5,0.4112,0.9,10,No
Q0066,500,2,6,0.5373,0.9,10,No
Q0066,500,2,7,0.661,0.9,10,No
Q0066,500,2,8,0.7744,0.9,10,No
Q0066,500,2,9,0.8704,0.9,10,No
Q0066,500,2,10,0.9427,0.9,10,Yes
Q0067,500,3,1,0.0531,0.9,8,No
Q0067,500,3,2,0.1429,0.9,8,No
Q0067,500,3,3,0.2668,0.9,8,No
Q0067,500,3,4,0.4129,0.9,8,No
Q0067,500,3,5,0.5673,0.9,8,No
Q0067,500,3,6,0.7153,0.9,8,No
Q0067,500,3,7,0.8428,0.9,8,No
Q0067,500,3,8,0.9375,0.9,8,Yes
Q0068,500,16,1,0.2639,0.9,3,No
Q0068,500,16,2,0.6129,0.9,3,No
Q0068,500,16,3,0.9059,0.9,3,Yes
Q0069,500,4,1,0.0705,0.9,7,No
Q0069,500,4,2,0.1875,0.9,7,No
Q0069,500,4,3,0.3442,0.9,7,No
Q0069,500,4,4,0.5207,0.9,7,No
Q0069,500,4,5,0.6945,0.9,7,No
Q0069,500,4,6,0.8437,0.9,7,No
Q0069,500,4,7,0.9492,0.9,7,Yes
Q0070,500,4,1,0.0705,0.9,7,No
Q0070,500,4,2,0.1875,0.9,7,No
Q0070,500,4,3,0.3442,0.9,7,No
Q0070,500,4,4,0.5207,0.9,7,No
Q0070,500,4,5,0.6945,0.9,7,No
Q0070,500,4,6,0.8437,0.9,7,No
Q0070,500,4,7,0.9492,0.9,7,Yes
Q0071,500,1,1,0.0179,0.9,14,No
Q0071,500,1,2,0.0492,0.9,14,No
Q0071,500,1,3,0.0949,0.9,14,No
Q0071,500,1,4,0.1535,0.9,14,No
Q0071,500,1,5,0.2232,0.9,14,No
Q0071,500,1,6,0.3018,0.9,14,No
Q0071,500,1,7,0.3866,0.9,14,No
Q0071,500,1,8,0.4751,0.9,14,No
Q0071,500,1,9,0.5644,0.9,14,No
Q0071,500,1,10,0.6516,0.9,14,No
Q0071,500,1,11,0.734,0.9,14,No
Q0071,500,1,12,0.8089,0.9,14,No
Q0071,500,1,13,0.874,0.9,14,No
Q0071,500,1,14,0.9271,0.9,14,Yes
Q0072,500,1,1,0.0179,0.9,14,No
Q0072,500,1,2,0.0492,0.9,14,No
Q0072,500,1,3,0.0949,0.9,14,No
Q0072,500,1,4,0.1535,0.9,14,No
Q0072,500,1,5,0.2232,0.9,14,No
Q0072,500,1,6,0.3018,0.9,14,No
Q0072,500,1,7,0.3866,0.9,14,No
Q0072,500,1,8,0.4751,0.9,14,No
Q0072,500,1,9,0.5644,0.9,14,No
Q0072,500,1,10,0.6516,0.9,14,No
Q0072,500,1,11,0.734,0.9,14,No
Q0072,500,1,12,0.8089,0.9,14,No
Q0072,500,1,13,0.874,0.9,14,No
Q0072,500,1,14,0.9271,0.9,14,Yes
Q0073,500,12,1,0.2024,0.9,4,No
Q0073,500,12,2,0.4923,0.9,4,No
Q0073,500,12,3,0.7851,0.9,4,No
Q0073,500,12,4,0.9711,0.9,4,Yes
Q0074,500,19,1,0.3082,0.9,3,No
Q0074,500,19,2,0.6906,0.9,3,No
Q0074,500,19,3,0.9615,0.9,3,Yes
Q0075,500,19,1,0.3082,0.9,3,No
Q0075,500,19,2,0.6906,0.9,3,No
Q0075,500,19,3,0.9615,0.9,3,Yes
Q0076,500,13,1,0.2181,0.9,4,No
Q0076,500,13,2,0.5244,0.9,4,No
Q0076,500,13,3,0.8208,0.9,4,No
Q0076,500,13,4,0.9872,0.9,4,Yes
Q0077,500,7,1,0.1213,0.9,5,No
Q0077,500,7,2,0.3123,0.9,5,No
Q0077,500,7,3,0.5447,0.9,5,No
Q0077,500,7,4,0.7673,0.9,5,No
Q0077,500,7,5,0.9308,0.9,5,Yes
Q0078,500,7,1,0.1213,0.9,5,No
